kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
亜,ア,ア,-a,아,ㅇᅡ,-a-,ア,(none),(none),a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(01) ア行,(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
阿,ア,ア,-a,아,ㅇᅡ,-a-,ア,(none),(none),a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(01) ア行,(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
依,エ,エ,-e,의,ㅇᅴ,-wi-,エ,(none),(none),e,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(09) エ(e),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
衣,エ,エ,-e,의,ㅇᅴ,-wi-,エ,(none),(none),e,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(09) エ(e),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
絵,エ,エ,-e,회,ㅎᅬ,h-oe-,エ,(none),(none),e,(none),ㅎ,ᅬ,(none),h,oe,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(02) ᅬ(oe),(01) (none)
恵,エ,エ,-e,혜,ㅎᅨ,h-ye-,エ,(none),(none),e,(none),ㅎ,ᅨ,(none),h,ye,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(15) ᅨ(ye),(01) (none)
慧,エ,エ,-e,혜,ㅎᅨ,h-ye-,エ,(none),(none),e,(none),ㅎ,ᅨ,(none),h,ye,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(15) ᅨ(ye),(01) (none)
伊,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
夷,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
異,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
移,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
位,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
委,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
威,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
尉,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
為,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
緯,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
胃,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
依,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
医,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
