"word_kanji","kana_parsed","kana_parsed2","hangul"
数学,スウ|ガク,スー|ガク,수학
文学,ブン|ガク,ブン|ガク,문학
化学,カ|ガク,カ|ガク,화학
音階,オン|カイ,オン|カイ,음계
文庫,ブン|コ,ブン|コ,문고
方程式,ホウ|テイ|シキ,ホー|テイ|シキ,방정식
多項式,タ|コウ|シキ,タ|コー|シキ,다항식
物理,ブツ|リ,ブツ|リ,물리
級数,キュウ|スウ,キュー|スー,급수
歌手,カ|シュ,カ|シュ,가수
光子,コウ|シ,コー|シ,광자
標準,ヒョウ|ジュン,ヒョー|ジュン,표준
模型,モ|ケイ,モ|ケイ,모형
群論,グン|ロン,グン|ロン,군론
波動,ハ|ドウ,ハ|ドー,파동
微細,ビ|サイ,ビ|サイ,미세
構造,コウ|ゾウ,コー|ゾー,구조
空間,クウ|カン,クー|カン,공간
大韓民国,ダイ|カン|ミン|コク,ダイ|カン|ミン|コク,대한민국
加速度,カ|ソク|ド,カ|ソク|ド,가속도
速度,ソク|ド,ソク|ド,속도
微分,ビ|ブン,ビ|ブン,미분
運動,ウン|ドウ,ウン|ドー,운동
電子,デン|シ,デン|シ,전자
掲示板,ケイ|ジ|バン,ケイ|ジ|バン,게시판
情報,ジョウ|ホウ,ジョー|ホー,정보
通信,ツウ|シン,ツー|シン,통신
有理数,ユウ|リ|スウ,ユー|リ|スー,유리수
財団,ザイ|ダン,ザイ|ダン,재단
虚数,キョ|スウ,キョ|スー,허수
変換,ヘン|カン,ヘン|カン,변환
実数,ジッ|スウ,ジッ|スー,실수
朝鮮日報,チョウ|セン|ニッ|ポウ,チョー|セン|ニッ|ポー,조선일보
集合,シュウ|ゴウ,シュー|ゴー,집합
区間,ク|カン,ク|カン,구간
不等式,フ|トウ|シキ,フ|トー|シキ,부등식
日本,ニッ|ポン,ニッ|ポン,일본
工学,コウ|ガク,コー|ガク,공학
原子,ゲン|シ,ゲン|シ,원자
朝鮮民主主義人民共和国,チョウ|セン|ミン|シュ|シュ|ギ|ジン|ミン|キョウ|ワ|コク,チョー|セン|ミン|シュ|シュ|ギ|ジン|ミン|キョー|ワ|コク,조선민주주의인민공화국
火星,カ|セイ,カ|セイ,화성
誘導,ユウ|ドウ,ユー|ドー,유도
天文学,テン|モン|ガク,テン|モン|ガク,천문학
行列,ギョウ|レツ,ギョー|レツ,행렬
気象庁,キ|ショウ|チョウ,キ|ショー|チョー,기상청
言語,ゲン|ゴ,ゲン|ゴ,언어
麻薬,マ|ヤク,マ|ヤク,마약
学習,ガク|シュウ,ガク|シュー,학습
遺伝子,イ|デン|シ,イ|デン|シ,유전자
辞典,ジ|テン,ジ|テン,사전
電気,デン|キ,デン|キ,전기
電荷,デン|カ,デン|カ,전하
電位,デン|イ,デン|イ,전위
電流,デン|リュウ,デン|リュー,전류
抵抗,テイ|コウ,テイ|コー,저항
電力,デン|リョク,デン|リョク,전력
生化学,セイ|カ|ガク,セイ|カ|ガク,생화학
虞美人草,グ|ビ|ジン|ソウ,グ|ビ|ジン|ソー,우미인초
農業,ノウ|ギョウ,ノー|ギョー,농업
演劇,エン|ゲキ,エン|ゲキ,연극
協奏曲,キョウ|ソウ|キョク,キョー|ソー|キョク,협주곡
野球,ヤ|キュウ,ヤ|キュー,야구
英語,エイ|ゴ,エイ|ゴ,영어
色,ショク,ショク,색
君主,クン|シュ,クン|シュ,군주
中華人民共和国,チュウ|カ|ジン|ミン|キョウ|ワ|コク,チュー|カ|ジン|ミン|キョー|ワ|コク,중화인민공화국
中国,チュウ|ゴク,チュー|ゴク,중국
音程,オン|テイ,オン|テイ,음정
真珠湾,シン|ジュ|ワン,シン|ジュ|ワン,진주만
攻撃,コウ|ゲキ,コー|ゲキ,공격
矛盾,ム|ジュン,ム|ジュン,모순
米国,ベイ|コク,ベイ|コク,미국
協会,キョウ|カイ,キョー|カイ,협회
粉食,フン|ショク,フン|ショク,분식
土曜日,ド|ヨウ|ビ,ド|ヨー|ビ,토요일
核,カク,カク,핵
拡散,カク|サン,カク|サン,확산
条約,ジョウ|ヤク,ジョー|ヤク,조약
水泳,スイ|エイ,スイ|エイ,수영
古代,コ|ダイ,コ|ダイ,고대
金鍾泌,キン|ショウ|ヒツ,キン|ショー|ヒツ,김종필
対位法,タイ|イ|ホウ,タイ|イ|ホー,대위법
交通,コウ|ツウ,コー|ツー,교통
地平,チ|ヘイ,チ|ヘイ,지평
座標,ザ|ヒョウ,ザ|ヒョー,좌표
半島,ハン|トウ,ハン|トー,반도
山脈,サン|ミャク,サン|ミャク,산맥
民族,ミン|ゾク,ミン|ゾク,민족
法学,ホウ|ガク,ホー|ガク,법학
世界,セ|カイ,セ|カイ,세계
戦争,セン|ソウ,セン|ソー,전쟁
皇帝,コウ|テイ,コー|テイ,황제
医師,イ|シ,イ|シ,의사
閏年,ウルウ|ドシ,ウルー|ドシ,윤년
